Sample #,DNA Name,Length (bp),Concentration (ng/uL),Primer
1,C7R1_50_50_3_4,1000,0.83,27F
2,C7R1_95_5_3_4,1000,0.83,27F
3,C7R1_5_95_3_4,1000,0.83,27F
4,C11R2_50_50_2_8,1000,0.83,27F
5,C11R2_50_50_3_7,1000,0.83,27F
6,C11R2_50_50_3_12,1000,0.83,27F
7,C11R2_50_50_6_11,1000,0.83,27F
8,C11R2_50_50_7_12,1000,0.83,27F
9,C11R2_95_5_2_8,1000,0.83,27F
10,C11R2_95_5_3_7,1000,0.83,27F
11,C11R2_95_5_3_12,1000,0.83,27F
12,C11R2_95_5_6_11,1000,0.83,27F
13,C11R2_5_95_3_7,1000,0.83,27F
14,C11R2_95_5_7_12,1000,0.83,27F
15,C11R2_5_95_2_8,1000,0.83,27F
16,C11R2_5_95_6_11,1000,0.83,27F
17,C11R2_5_95_3_12,1000,0.83,27F
18,C11R2_5_95_7_12,1000,0.83,27F
19,C11R5_50_50_1_3,1000,0.83,27F
20,C11R5_50_50_2_4,1000,0.83,27F
21,C11R5_95_5_1_3,1000,0.83,27F
22,C11R5_95_5_2_4,1000,0.83,27F
23,C11R5_5_95_1_3,1000,0.83,27F
24,C11R5_5_95_2_4,1000,0.83,27F
25,C1R4_50_50_2_4,1000,0.83,27F
26,C1R4_50_50_2_5,1000,0.83,27F
27,C1R4_50_50_4_5,1000,0.83,27F
28,C1R6_50_50_1_2,1000,0.83,27F
29,C1R6_50_50_2_5,1000,0.83,27F
30,C4R1_50_50_1_3,1000,0.83,27F
31,C1R4_95_5_2_4,1000,0.83,27F
32,C1R4_95_5_2_5,1000,0.83,27F
33,C1R4_5_95_2_4,1000,0.83,27F
34,C1R4_95_5_4_5,1000,0.83,27F
35,C1R4_5_95_2_5,1000,0.83,27F
36,C1R4_5_95_4_5,1000,0.83,27F
37,C1R6_95_5_1_2,1000,0.83,27F
38,C1R6_5_95_1_2,1000,0.83,27F
39,C1R6_95_5_2_5,1000,0.83,27F
40,C1R6_5_95_2_5,1000,0.83,27F
41,C4R1_95_5_1_3,1000,0.83,27F
42,C4R1_5_95_1_3,1000,0.83,27F
43,C11R2_2,1000,0.83,27F
44,C11R2_3,1000,0.83,27F
45,C11R2_6,1000,0.83,27F
46,C11R2_7,1000,0.83,27F
47,C11R2_8,1000,0.83,27F
48,C11R2_11,1000,0.83,27F
49,C11R2_12,1000,0.83,27F
50,C11R5_1,1000,0.83,27F
51,C11R5_2,1000,0.83,27F
52,C11R5_3,1000,0.83,27F
53,C11R5_4,1000,0.83,27F
54,C1R4_2,1000,0.83,27F
55,C1R4_4,1000,0.83,27F
56,C1R4_5,1000,0.83,27F
57,C1R6_1,1000,0.83,27F
58,C1R6_2,1000,0.83,27F
59,C1R6_5,1000,0.83,27F
60,C4R1_1,1000,0.83,27F
61,C4R1_3,1000,0.83,27F
62,C7R1_3,1000,0.83,27F
63,C7R1_4,1000,0.83,27F
64,mock,1000,0.83,27F
