output_dir,init_N0,init_R0,exp_id,seed,fa,sa,ma,Sgen,sampling_c,sampling_D,mu_f,sigma_f,omega_f,muc,sigc,q,c0,c1,fs,fw,sparsity,food,R0_food,regulation,response,supply,g,w,l,m,tau,r,n,sigma_max,nreg,n_timesteps,n_timepoints,save_timepoint,n_pass,t_propagation,dilution_factor,n_wells,n_communities,S,n_timepoint
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W0-1-N_init.csv,LVPairs_W0-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,135,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W1-1-N_init.csv,LVPairs_W1-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W2-1-N_init.csv,LVPairs_W2-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W3-1-N_init.csv,LVPairs_W3-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W4-1-N_init.csv,LVPairs_W4-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W5-1-N_init.csv,LVPairs_W5-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W6-1-N_init.csv,LVPairs_W6-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W7-1-N_init.csv,LVPairs_W7-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W8-1-N_init.csv,LVPairs_W8-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W9-1-N_init.csv,LVPairs_W9-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W10-1-N_init.csv,LVPairs_W10-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W11-1-N_init.csv,LVPairs_W11-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W12-1-N_init.csv,LVPairs_W12-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W13-1-N_init.csv,LVPairs_W13-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W14-1-N_init.csv,LVPairs_W14-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W15-1-N_init.csv,LVPairs_W15-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W16-1-N_init.csv,LVPairs_W16-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W17-1-N_init.csv,LVPairs_W17-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W18-1-N_init.csv,LVPairs_W18-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
/Users/cychang/Dropbox/lab/emergent-coexistence/simulation/03c-LVPairs/,LVPairs_W19-1-N_init.csv,LVPairs_W19-1-R_init.csv,1,1,10,100,1,0,Dirichlet,Uniform,0.4,0.01,100,10,4,0.5,0,1,0.45,0.45,0.2,0,1000,independent,type I,external,1,1,0,1,1,1,2,1,10,1000000,10,TRUE,2,1,0.001,50,20,10,50
