Family,Species,W0,W1,W2
F0,S0,0,0,0
F0,S1,0,0,0
F0,S2,0,0,0
F0,S3,0,0,0
F0,S4,0,0,0
F0,S5,0,0,0
F0,S6,0,0,0
F0,S7,0,0,0
F0,S8,0,0,0
F0,S9,0,0,0
F0,S10,0,0,0
F0,S11,0,0,0
F0,S12,0,0,0
F0,S13,0,0,0
F0,S14,0,0,0
F0,S15,0,0,0
F0,S16,0,0,0
F0,S17,0,0,0
F0,S18,0,0,0
F0,S19,0,0,0
F0,S20,0,0,0
F0,S21,0,0,0
F0,S22,0,0,0
F0,S23,0,0,0
F0,S24,0,0,0
F0,S25,0,0,0
F0,S26,0,0,0
F0,S27,0,0,0
F0,S28,0,0,0
F0,S29,0,0,0
F0,S30,0,0,0
F0,S31,0,0,0
F0,S32,0,0,0
F0,S33,0,0,0
F0,S34,0,0,0
F0,S35,0,0,0
F0,S36,0,0,0
F0,S37,0,0,0
F0,S38,0,0,0
F0,S39,0,0,0
F0,S40,0,0,0
F0,S41,0,0,0
F0,S42,0,0,0
F0,S43,0,0,0
F0,S44,0,0,0
F0,S45,0,0,0
F0,S46,0,0,0
F0,S47,0,0,0
F0,S48,0,0,0
F0,S49,0,0,0
F0,S50,0,0,0
F0,S51,0,0,0
F0,S52,0,0,0
F0,S53,0,0,0
F0,S54,0,0,0
F0,S55,0,0,0
F0,S56,0,0,0
F0,S57,0,0,0
F0,S58,0,0,0
F0,S59,0,0,0
F0,S60,0,0,0
F0,S61,0,0,0
F0,S62,0,0,0
F0,S63,0,0,0
F0,S64,0,0,0
F0,S65,0,0,0
F0,S66,0,0,0
F0,S67,0,0,0
F0,S68,0,0,0
F0,S69,0,0,0
F0,S70,0,0,0
F0,S71,0,0,0
F0,S72,0,0,0
F0,S73,0,0,0
F0,S74,0,0,0
F0,S75,0,0,0
F0,S76,0,0,0
F0,S77,0,0,0
F0,S78,0,0,0
F0,S79,0,0,0
F0,S80,0,0,0
F0,S81,0,0,0
F0,S82,0,0,0
F0,S83,0,0,0
F0,S84,0,0,0
F0,S85,0,0,0
F0,S86,0,0,0
F0,S87,0,0,0
F0,S88,0,0,0
F0,S89,0,0,0
F0,S90,0,0,0
F0,S91,0,0,0
F0,S92,0,0,0
F0,S93,0,0,0
F0,S94,0,0,0
F0,S95,0,0,0
F0,S96,0,0,0
F0,S97,0,0,0
F0,S98,0,0,0
F0,S99,0,0,0
F1,S100,0,0,0
F1,S101,0,0,0
F1,S102,0,0,0
F1,S103,0,0,0
F1,S104,0,0,0
F1,S105,0,0,0
F1,S106,0,0,0
F1,S107,0,0,0
F1,S108,0,0,0
F1,S109,0,0,0
