q,q2,seed,S,exp_id
0.9,0.9,1,200,1
0.9,0.9,2,200,2
0.9,0.9,3,200,3
0.9,0.9,4,200,4
0.9,0.9,5,200,5
0.9,0.9,6,200,6
0.9,0.9,7,200,7
0.9,0.9,8,200,8
0.9,0.9,9,200,9
0.9,0.9,10,200,10
0.9,0.9,11,200,11
0.9,0.9,12,200,12
0.9,0.9,13,200,13
0.9,0.9,14,200,14
0.9,0.9,15,200,15
0.9,0.9,16,200,16
0.9,0.9,17,200,17
0.9,0.9,18,200,18
0.9,0.9,19,200,19
0.9,0.9,20,200,20
0.9,0.9,21,200,21
0.9,0.9,22,200,22
0.9,0.9,23,200,23
0.9,0.9,24,200,24
0.9,0.9,25,200,25
0.9,0.9,26,200,26
0.9,0.9,27,200,27
0.9,0.9,28,200,28
0.9,0.9,29,200,29
0.9,0.9,30,200,30
0.9,0.9,31,200,31
0.9,0.9,32,200,32
0.9,0.9,33,200,33
0.9,0.9,34,200,34
0.9,0.9,35,200,35
0.9,0.9,36,200,36
0.9,0.9,37,200,37
0.9,0.9,38,200,38
0.9,0.9,39,200,39
0.9,0.9,40,200,40
0.9,0.9,41,200,41
0.9,0.9,42,200,42
0.9,0.9,43,200,43
0.9,0.9,44,200,44
0.9,0.9,45,200,45
0.9,0.9,46,200,46
0.9,0.9,47,200,47
0.9,0.9,48,200,48
0.9,0.9,49,200,49
0.9,0.9,50,200,50
0.9,0.9,51,200,51
0.9,0.9,52,200,52
0.9,0.9,53,200,53
0.9,0.9,54,200,54
0.9,0.9,55,200,55
0.9,0.9,56,200,56
0.9,0.9,57,200,57
0.9,0.9,58,200,58
0.9,0.9,59,200,59
0.9,0.9,60,200,60
0.9,0.9,61,200,61
0.9,0.9,62,200,62
0.9,0.9,63,200,63
0.9,0.9,64,200,64
0.9,0.9,65,200,65
0.9,0.9,66,200,66
0.9,0.9,67,200,67
0.9,0.9,68,200,68
0.9,0.9,69,200,69
0.9,0.9,70,200,70
0.9,0.9,71,200,71
0.9,0.9,72,200,72
0.9,0.9,73,200,73
0.9,0.9,74,200,74
0.9,0.9,75,200,75
0.9,0.9,76,200,76
0.9,0.9,77,200,77
0.9,0.9,78,200,78
0.9,0.9,79,200,79
0.9,0.9,80,200,80
0.9,0.9,81,200,81
0.9,0.9,82,200,82
0.9,0.9,83,200,83
0.9,0.9,84,200,84
0.9,0.9,85,200,85
0.9,0.9,86,200,86
0.9,0.9,87,200,87
0.9,0.9,88,200,88
0.9,0.9,89,200,89
0.9,0.9,90,200,90
0.9,0.9,91,200,91
0.9,0.9,92,200,92
0.9,0.9,93,200,93
0.9,0.9,94,200,94
0.9,0.9,95,200,95
0.9,0.9,96,200,96
0.9,0.9,97,200,97
0.9,0.9,98,200,98
0.9,0.9,99,200,99
0.9,0.9,100,200,100
0.9,0.9,1,100,101
0.9,0.9,2,100,102
0.9,0.9,3,100,103
0.9,0.9,4,100,104
0.9,0.9,5,100,105
0.9,0.9,6,100,106
0.9,0.9,7,100,107
0.9,0.9,8,100,108
0.9,0.9,9,100,109
0.9,0.9,10,100,110
0.9,0.9,11,100,111
0.9,0.9,12,100,112
0.9,0.9,13,100,113
0.9,0.9,14,100,114
0.9,0.9,15,100,115
0.9,0.9,16,100,116
0.9,0.9,17,100,117
0.9,0.9,18,100,118
0.9,0.9,19,100,119
0.9,0.9,20,100,120
0.9,0.9,21,100,121
0.9,0.9,22,100,122
0.9,0.9,23,100,123
0.9,0.9,24,100,124
0.9,0.9,25,100,125
0.9,0.9,26,100,126
0.9,0.9,27,100,127
0.9,0.9,28,100,128
0.9,0.9,29,100,129
0.9,0.9,30,100,130
0.9,0.9,31,100,131
0.9,0.9,32,100,132
0.9,0.9,33,100,133
0.9,0.9,34,100,134
0.9,0.9,35,100,135
0.9,0.9,36,100,136
0.9,0.9,37,100,137
0.9,0.9,38,100,138
0.9,0.9,39,100,139
0.9,0.9,40,100,140
0.9,0.9,41,100,141
0.9,0.9,42,100,142
0.9,0.9,43,100,143
0.9,0.9,44,100,144
0.9,0.9,45,100,145
0.9,0.9,46,100,146
0.9,0.9,47,100,147
0.9,0.9,48,100,148
0.9,0.9,49,100,149
0.9,0.9,50,100,150
0.9,0.9,51,100,151
0.9,0.9,52,100,152
0.9,0.9,53,100,153
0.9,0.9,54,100,154
0.9,0.9,55,100,155
0.9,0.9,56,100,156
0.9,0.9,57,100,157
0.9,0.9,58,100,158
0.9,0.9,59,100,159
0.9,0.9,60,100,160
0.9,0.9,61,100,161
0.9,0.9,62,100,162
0.9,0.9,63,100,163
0.9,0.9,64,100,164
0.9,0.9,65,100,165
0.9,0.9,66,100,166
0.9,0.9,67,100,167
0.9,0.9,68,100,168
0.9,0.9,69,100,169
0.9,0.9,70,100,170
0.9,0.9,71,100,171
0.9,0.9,72,100,172
0.9,0.9,73,100,173
0.9,0.9,74,100,174
0.9,0.9,75,100,175
0.9,0.9,76,100,176
0.9,0.9,77,100,177
0.9,0.9,78,100,178
0.9,0.9,79,100,179
0.9,0.9,80,100,180
0.9,0.9,81,100,181
0.9,0.9,82,100,182
0.9,0.9,83,100,183
0.9,0.9,84,100,184
0.9,0.9,85,100,185
0.9,0.9,86,100,186
0.9,0.9,87,100,187
0.9,0.9,88,100,188
0.9,0.9,89,100,189
0.9,0.9,90,100,190
0.9,0.9,91,100,191
0.9,0.9,92,100,192
0.9,0.9,93,100,193
0.9,0.9,94,100,194
0.9,0.9,95,100,195
0.9,0.9,96,100,196
0.9,0.9,97,100,197
0.9,0.9,98,100,198
0.9,0.9,99,100,199
0.9,0.9,100,100,200
0.9,0.9,1,150,201
0.9,0.9,2,150,202
0.9,0.9,3,150,203
0.9,0.9,4,150,204
0.9,0.9,5,150,205
0.9,0.9,6,150,206
0.9,0.9,7,150,207
0.9,0.9,8,150,208
0.9,0.9,9,150,209
0.9,0.9,10,150,210
0.9,0.9,11,150,211
0.9,0.9,12,150,212
0.9,0.9,13,150,213
0.9,0.9,14,150,214
0.9,0.9,15,150,215
0.9,0.9,16,150,216
0.9,0.9,17,150,217
0.9,0.9,18,150,218
0.9,0.9,19,150,219
0.9,0.9,20,150,220
0.9,0.9,21,150,221
0.9,0.9,22,150,222
0.9,0.9,23,150,223
0.9,0.9,24,150,224
0.9,0.9,25,150,225
0.9,0.9,26,150,226
0.9,0.9,27,150,227
0.9,0.9,28,150,228
0.9,0.9,29,150,229
0.9,0.9,30,150,230
0.9,0.9,31,150,231
0.9,0.9,32,150,232
0.9,0.9,33,150,233
0.9,0.9,34,150,234
0.9,0.9,35,150,235
0.9,0.9,36,150,236
0.9,0.9,37,150,237
0.9,0.9,38,150,238
0.9,0.9,39,150,239
0.9,0.9,40,150,240
0.9,0.9,41,150,241
0.9,0.9,42,150,242
0.9,0.9,43,150,243
0.9,0.9,44,150,244
0.9,0.9,45,150,245
0.9,0.9,46,150,246
0.9,0.9,47,150,247
0.9,0.9,48,150,248
0.9,0.9,49,150,249
0.9,0.9,50,150,250
0.9,0.9,51,150,251
0.9,0.9,52,150,252
0.9,0.9,53,150,253
0.9,0.9,54,150,254
0.9,0.9,55,150,255
0.9,0.9,56,150,256
0.9,0.9,57,150,257
0.9,0.9,58,150,258
0.9,0.9,59,150,259
0.9,0.9,60,150,260
0.9,0.9,61,150,261
0.9,0.9,62,150,262
0.9,0.9,63,150,263
0.9,0.9,64,150,264
0.9,0.9,65,150,265
0.9,0.9,66,150,266
0.9,0.9,67,150,267
0.9,0.9,68,150,268
0.9,0.9,69,150,269
0.9,0.9,70,150,270
0.9,0.9,71,150,271
0.9,0.9,72,150,272
0.9,0.9,73,150,273
0.9,0.9,74,150,274
0.9,0.9,75,150,275
0.9,0.9,76,150,276
0.9,0.9,77,150,277
0.9,0.9,78,150,278
0.9,0.9,79,150,279
0.9,0.9,80,150,280
0.9,0.9,81,150,281
0.9,0.9,82,150,282
0.9,0.9,83,150,283
0.9,0.9,84,150,284
0.9,0.9,85,150,285
0.9,0.9,86,150,286
0.9,0.9,87,150,287
0.9,0.9,88,150,288
0.9,0.9,89,150,289
0.9,0.9,90,150,290
0.9,0.9,91,150,291
0.9,0.9,92,150,292
0.9,0.9,93,150,293
0.9,0.9,94,150,294
0.9,0.9,95,150,295
0.9,0.9,96,150,296
0.9,0.9,97,150,297
0.9,0.9,98,150,298
0.9,0.9,99,150,299
0.9,0.9,100,150,300
0.05,0.05,1,200,301
0.15,0.05,1,200,302
0.25,0.05,1,200,303
0.35,0.05,1,200,304
0.45,0.05,1,200,305
0.55,0.05,1,200,306
0.65,0.05,1,200,307
0.75,0.05,1,200,308
0.85,0.05,1,200,309
0.95,0.05,1,200,310
0.05,0.15,1,200,311
0.15,0.15,1,200,312
0.25,0.15,1,200,313
0.35,0.15,1,200,314
0.45,0.15,1,200,315
0.55,0.15,1,200,316
0.65,0.15,1,200,317
0.75,0.15,1,200,318
0.85,0.15,1,200,319
0.95,0.15,1,200,320
0.05,0.25,1,200,321
0.15,0.25,1,200,322
0.25,0.25,1,200,323
0.35,0.25,1,200,324
0.45,0.25,1,200,325
0.55,0.25,1,200,326
0.65,0.25,1,200,327
0.75,0.25,1,200,328
0.85,0.25,1,200,329
0.95,0.25,1,200,330
0.05,0.35,1,200,331
0.15,0.35,1,200,332
0.25,0.35,1,200,333
0.35,0.35,1,200,334
0.45,0.35,1,200,335
0.55,0.35,1,200,336
0.65,0.35,1,200,337
0.75,0.35,1,200,338
0.85,0.35,1,200,339
0.95,0.35,1,200,340
0.05,0.45,1,200,341
0.15,0.45,1,200,342
0.25,0.45,1,200,343
0.35,0.45,1,200,344
0.45,0.45,1,200,345
0.55,0.45,1,200,346
0.65,0.45,1,200,347
0.75,0.45,1,200,348
0.85,0.45,1,200,349
0.95,0.45,1,200,350
0.05,0.55,1,200,351
0.15,0.55,1,200,352
