Community,Isolate1,Isolate2,SeqDifference,SeqLength
C1R2,1,2,81,646
C1R2,1,3,25,660
C1R2,1,4,76,647
C1R2,2,3,117,972
C1R2,2,4,12,904
C1R2,3,4,110,908
C1R4,1,2,62,525
C1R4,1,3,13,666
C1R4,1,4,77,646
C1R4,1,5,94,793
C1R4,2,3,64,525
C1R4,2,4,2,519
C1R4,2,5,3,525
C1R4,3,4,91,747
C1R4,3,5,88,668
C1R4,4,5,1,657
C1R6,1,2,85,662
C1R6,1,3,7,639
C1R6,1,4,91,712
C1R6,1,5,88,668
C1R6,2,3,82,636
C1R6,2,4,22,662
C1R6,2,5,12,661
C1R6,3,4,104,809
C1R6,3,5,94,754
C1R6,4,5,29,785
C1R7,1,2,90,733
C1R7,1,3,12,664
C1R7,1,4,22,734
C1R7,1,5,2,527
C1R7,1,6,7,545
C1R7,1,7,8,530
C1R7,2,3,94,793
C1R7,2,4,108,886
C1R7,2,5,71,653
C1R7,2,6,76,653
C1R7,2,7,76,648
C1R7,3,4,33,793
C1R7,3,5,9,654
C1R7,3,6,11,671
C1R7,3,7,7,650
C1R7,4,5,17,653
C1R7,4,6,17,656
C1R7,4,7,15,651
C1R7,5,6,9,652
C1R7,5,7,12,648
C1R7,6,7,14,650
C2R6,1,2,10,529
C2R6,1,3,2,529
C2R6,1,4,,
C2R6,2,3,12,681
C2R6,2,4,,
C2R6,3,4,,
C2R8,1,2,10,636
C2R8,1,3,77,648
C2R8,1,4,77,648
C2R8,2,3,96,773
C2R8,2,4,100,842
C2R8,3,4,0,814
C4R1,1,2,80,648
C4R1,1,3,142,844
C4R1,2,3,101,645
C7R1,1,2,62,507
C7R1,1,3,0,523
C7R1,1,4,2,519
C7R1,2,3,62,507
C7R1,2,4,82,652
C7R1,3,4,2,519
C8R4,1,2,86,654
C8R4,1,3,0,836
C8R4,2,3,86,654
C10R2,1,2,84,617
C10R2,1,3,,
C10R2,2,3,,
C11R1,1,2,135,788
C11R1,1,3,97,782
C11R1,1,4,104,781
C11R1,1,5,68,526
C11R1,1,6,81,644
C11R1,1,7,104,782
C11R1,1,8,111,656
C11R1,1,9,136,751
C11R1,2,3,141,861
C11R1,2,4,147,861
C11R1,2,5,76,517
C11R1,2,6,110,653
C11R1,2,7,144,839
C11R1,2,8,3,744
C11R1,2,9,103,788
C11R1,3,4,115,870
C11R1,3,5,60,517
C11R1,3,6,79,652
C11R1,3,7,111,840
C11R1,3,8,112,725
C11R1,3,9,150,793
C11R1,4,5,5,526
C11R1,4,6,5,657
C11R1,4,7,16,838
C11R1,4,8,118,726
C11R1,4,9,139,794
C11R1,5,6,8,526
C11R1,5,7,10,526
C11R1,5,8,78,517
C11R1,5,9,74,506
C11R1,6,7,2,657
C11R1,6,8,81,518
C11R1,6,9,96,597
C11R1,7,8,115,704
C11R1,7,9,142,794
C11R1,8,9,89,709
C11R2,1,2,112,826
C11R2,1,3,47,658
C11R2,1,4,45,651
C11R2,1,5,49,653
C11R2,1,6,45,652
C11R2,1,7,48,704
C11R2,1,8,91,632
C11R2,1,9,123,858
C11R2,1,10,100,860
C11R2,1,11,61,863
C11R2,1,12,52,704
C11R2,2,3,89,659
C11R2,2,4,78,642
C11R2,2,5,75,652
C11R2,2,6,78,651
C11R2,2,7,90,692
C11R2,2,8,2,659
C11R2,2,9,123,827
C11R2,2,10,112,871
C11R2,2,11,109,870
C11R2,2,12,93,692
C11R2,3,4,5,523
C11R2,3,5,11,540
C11R2,3,6,6,519
C11R2,3,7,2,656
C11R2,3,8,62,495
C11R2,3,9,110,658
C11R2,3,10,87,656
C11R2,3,11,27,657
C11R2,3,12,6,656
C11R2,4,5,17,653
C11R2,4,6,10,649
C11R2,4,7,3,522
C11R2,4,8,79,627
C11R2,4,9,91,639
C11R2,4,10,77,648
C11R2,4,11,16,653
C11R2,4,12,7,522
C11R2,5,6,14,651
C11R2,5,7,9,539
C11R2,5,8,73,630
C11R2,5,9,91,656
C11R2,5,10,73,654
C11R2,5,11,25,655
C11R2,5,12,13,539
C11R2,6,7,6,518
C11R2,6,8,77,629
C11R2,6,9,91,642
C11R2,6,10,79,651
C11R2,6,11,19,651
C11R2,6,12,8,518
C11R2,7,8,61,495
C11R2,7,9,115,760
C11R2,7,10,93,758
C11R2,7,11,25,703
C11R2,7,12,4,716
C11R2,8,9,84,635
C11R2,8,10,71,631
C11R2,8,11,73,631
C11R2,8,12,65,499
C11R2,9,10,106,945
C11R2,9,11,129,878
C11R2,9,12,114,718
C11R2,10,11,110,884
C11R2,10,12,93,716
C11R2,11,12,27,703
C11R5,1,2,92,678
C11R5,1,3,1,676
C11R5,1,4,1,676
C11R5,1,5,62,484
C11R5,2,3,105,820
C11R5,2,4,91,678
C11R5,2,5,0,486
C11R5,3,4,0,676
C11R5,3,5,61,484
C11R5,4,5,61,484
